campaign_id,brand_name,brand_category,region,platform,influencer_id,influencer_handle,influencer_category,influencer_tier,followers_start,posts_count,campaign_objective,impressions,avg_likes_per_post,avg_comments_per_post,avg_saves_shares_per_post,click_through_rate,landing_page_conv_rate,clicks,orders,new_customers,avg_order_value,revenue,influencer_fee,product_cost,other_campaign_costs,total_spend,cpm,cpc,cpa,roas,roi,campaign_success_label,curve_k,curve_alpha,curve_beta
CMP_00015,Brand_604,Gaming,India,Instagram,INF_7172,@creator_64693,Travel,Macro,508442,3,Traffic,544787,4043,1026,1500,0.003,0.0247,43313,1071,718,1920.09,2056891.64,515610.89,131770.88,91392.43,738774.21,1356.08,17.06,689.8,2.78,1.78,0,1.507,1.192,0.716
CMP_00016,Brand_968,Beauty,India,Instagram,INF_4627,@creator_32700,Fashion,Micro,27310,5,Awareness,22556,173,22,35,0.0103,0.0516,6672,344,233,2053.26,706343.16,222760.9,31391.67,30717.96,284870.52,12629.48,42.7,828.11,2.48,1.48,0,1.214,1.167,0.416
CMP_00017,Brand_664,Gaming,US,TikTok,INF_8891,@creator_45547,Travel,Nano,1904,5,Awareness,4490,0,0,19,0.034,0.0233,8330,194,150,1659.77,322504.89,38914.09,8560.87,7930.52,55405.48,12339.75,6.65,285.6,5.82,4.82,1,1.786,1.34,0.454
CMP_00018,Brand_534,Fashion,India,TikTok,INF_5780,@creator_27100,Beauty,Nano,1603,4,Awareness,2469,0,17,13,0.0125,0.0533,1501,80,64,3594.91,291030.47,39453.9,10773.59,6869.32,57096.81,23125.48,38.04,713.71,5.1,4.1,1,2.753,1.191,0.245
CMP_00019,Brand_192,Gaming,India,TikTok,INF_8002,@creator_71886,Tech,Nano,3889,2,Awareness,2246,55,22,25,0.0199,0.0419,2407,101,74,1873.68,191084.17,24556.17,10506.65,4397.53,39460.35,17569.17,16.39,390.7,4.84,3.84,1,1.658,1.272,0.309
CMP_00020,Brand_155,Tech,India,TikTok,INF_5777,@creator_46668,Food,Nano,1475,5,Traffic,2485,51,0,0,0.0118,0.0206,4509,93,70,2528.51,235458.08,36043.47,9887.68,3594.13,49525.27,19929.69,10.98,532.53,4.75,3.75,1,1.755,1.051,0.606
CMP_00021,Brand_210,Fashion,EU,Instagram,INF_5621,@creator_25034,Fashion,Micro,52543,3,Conversions,53001,405,88,114,0.0039,0.0331,5143,170,106,2493.62,424710.52,94046.23,14482.27,13688.31,122216.8,2305.93,23.76,718.92,3.48,2.48,1,1.423,1.165,0.41
CMP_00022,Brand_935,D2C,EU,YouTube,INF_3739,@creator_64553,Beauty,Micro,13414,2,Awareness,8702,107,18,26,0.003,0.042,1525,64,56,2895.65,186213.6,64528.06,16083.02,12859.49,93470.57,10741.27,61.29,1460.48,1.99,0.99,0,2.642,1.301,0.736
CMP_00023,Brand_419,Beauty,EU,Instagram,INF_2828,@creator_11917,Tech,Micro,50960,3,Conversions,42688,300,116,105,0.006,0.0334,9627,322,282,2093.28,674868.92,142416.02,29463.33,11624.06,183503.41,4298.71,19.06,569.89,3.68,2.68,1,1.233,1.216,0.752
CMP_00024,Brand_297,Gaming,EU,Instagram,INF_7941,@creator_96740,Food,Macro,562991,5,Conversions,1077618,2058,545,808,0.0295,0.0262,42174,1107,871,1547.81,1714543.85,390494.09,90373.16,91425.23,572292.48,531.07,13.57,516.98,3.0,2.0,0,2.005,1.131,0.851
CMP_00025,Brand_382,D2C,EU,TikTok,INF_6788,@creator_15408,Family,Micro,14680,4,Conversions,24809,285,55,79,0.0195,0.0576,4217,243,198,3564.35,867446.93,152675.73,50998.98,26280.63,229955.34,9269.03,54.53,946.32,3.77,2.77,1,1.914,1.261,0.672
CMP_00026,Brand_721,Fitness,MENA,Instagram,INF_1814,@creator_86077,Family,Nano,1687,3,Awareness,1797,143,6,10,0.0273,0.0372,3439,128,114,1437.11,185272.65,39365.33,13439.47,8803.69,61608.48,34284.08,17.91,481.32,3.01,2.01,1,1.848,1.308,1.028
CMP_00027,Brand_148,D2C,MENA,Instagram,INF_3708,@creator_21694,Other,Macro,330246,1,Conversions,119318,2942,741,1096,0.0044,0.005,247400,1237,821,1774.48,2195508.23,676462.46,100486.18,176243.14,953191.78,7988.67,3.85,770.57,2.3,1.3,0,1.496,1.252,0.337
CMP_00028,Brand_154,Food,US,Instagram,INF_7704,@creator_30806,Family,Micro,72549,1,Awareness,20971,365,71,102,0.003,0.0085,59451,505,353,1619.15,818945.46,189449.31,41932.59,41483.7,272865.59,13011.57,4.59,540.33,3.0,2.0,1,2.055,1.237,0.604
CMP_00029,Brand_772,Gaming,India,TikTok,INF_1054,@creator_36399,Beauty,Macro,336185,2,Conversions,160602,3317,856,1256,0.003,0.0452,39685,1792,1415,1198.28,2147846.37,543164.11,147647.35,110465.66,801277.12,4989.21,20.19,447.14,2.68,1.68,0,2.611,1.396,0.9
CMP_00030,Brand_625,Fitness,India,Instagram,INF_9705,@creator_52880,Fashion,Macro,439466,5,Awareness,529113,1964,457,727,0.0059,0.0487,15030,732,444,2173.02,1591582.56,398820.49,175346.45,99594.71,673761.65,1273.38,44.83,920.44,2.36,1.36,0,1.28,1.354,0.685
CMP_00031,Brand_575,Fashion,US,YouTube,INF_3541,@creator_65961,Fitness,Nano,1378,2,Conversions,1206,67,16,6,0.0124,0.0299,567,17,14,4708.61,84358.4,30997.95,10814.63,2924.2,44736.78,37095.17,78.9,2631.58,1.89,0.89,0,1.28,1.142,0.58
CMP_00032,Brand_253,Fintech,India,YouTube,INF_5788,@creator_21555,Fitness,Nano,5470,3,Awareness,4697,0,0,0,0.0305,0.0158,9327,147,102,1451.97,214432.25,47100.44,14746.56,4919.68,66766.68,14214.75,7.16,454.2,3.21,2.21,1,1.062,1.142,0.66
CMP_00033,Brand_188,Beauty,India,Instagram,INF_2639,@creator_65337,Fitness,Micro,31296,1,Awareness,12303,321,80,79,0.0127,0.0263,12287,323,217,3167.14,1024558.29,176796.74,81737.98,32943.71,291478.43,23691.66,23.72,902.41,3.52,2.52,1,1.37,1.24,0.929
CMP_00034,Brand_596,Fitness,MENA,YouTube,INF_5806,@creator_22182,Fashion,Macro,109503,2,Traffic,103025,753,180,296,0.0192,0.023,36188,833,578,1567.49,1307189.88,534659.63,192996.3,74381.52,802037.44,7784.88,22.16,962.83,1.63,0.63,0,1.241,1.077,0.816
CMP_00035,Brand_764,Fintech,India,Instagram,INF_9502,@creator_62393,Fashion,Micro,76909,2,Awareness,73628,813,202,271,0.0149,0.005,149200,746,499,996.94,744499.81,168931.99,64721.24,36031.0,269684.23,3662.79,1.81,361.51,2.76,1.76,0,1.836,1.197,0.712
CMP_00036,Brand_620,Tech,MENA,Instagram,INF_2828,@creator_55028,Other,Micro,24228,3,Traffic,35892,150,43,50,0.0205,0.0471,2549,120,79,3455.35,414795.48,100152.32,16218.78,7456.8,123827.91,3450.01,48.58,1031.9,3.35,2.35,1,1.768,1.063,1.017
CMP_00037,Brand_553,Fashion,US,TikTok,INF_8312,@creator_34578,Fashion,Nano,3275,3,Awareness,3512,0,0,16,0.0164,0.0388,1006,39,29,3207.28,127899.81,21598.8,8084.95,4979.85,34663.61,9870.05,34.46,888.81,3.69,2.69,1,2.619,1.279,0.459
CMP_00038,Brand_769,Gaming,EU,TikTok,INF_1317,@creator_12396,Other,Nano,7099,3,Conversions,5787,66,26,23,0.0164,0.0389,6201,241,168,1573.36,379611.98,54942.57,17167.19,12470.32,84580.08,14615.53,13.64,350.95,4.49,3.49,1,2.395,1.288,0.881
CMP_00039,Brand_804,Fashion,SEA,TikTok,INF_6343,@creator_70461,Family,Macro,321712,3,App Installs,358936,1434,364,528,0.0227,0.024,44413,1065,825,2209.63,2353607.75,538084.44,114307.15,98366.11,750757.69,2091.62,16.9,704.94,3.13,2.13,1,2.864,1.086,1.1
CMP_00040,Brand_948,Gaming,India,Instagram,INF_5811,@creator_87475,Travel,Macro,940781,3,Awareness,1172379,8355,2070,3150,0.0308,0.005,277600,1388,946,2155.27,2992753.34,683856.98,189894.41,74393.53,948144.92,808.74,3.42,683.1,3.16,2.16,1,2.59,1.293,0.375
CMP_00041,Brand_927,Gaming,US,TikTok,INF_5179,@creator_58901,Fitness,Macro,262861,3,Awareness,365062,3352,828,1239,0.0207,0.0266,88821,2359,1438,1027.82,2425075.71,431237.99,108604.08,108931.63,648773.7,1777.16,7.3,275.02,3.74,2.74,1,1.371,1.354,1.026
CMP_00042,Brand_988,Food,EU,TikTok,INF_2875,@creator_44531,Beauty,Micro,13101,1,Awareness,4219,140,26,67,0.0135,0.0233,7508,175,117,1476.14,258326.32,50730.1,14736.23,10071.14,75537.47,17904.12,10.06,431.64,3.42,2.42,1,2.2,1.152,1.013
CMP_00043,Brand_482,D2C,US,Instagram,INF_7047,@creator_71681,Fashion,Micro,50403,4,Awareness,36063,258,58,116,0.0263,0.0153,16907,259,202,3512.16,912071.73,158577.62,61027.87,50248.63,269854.12,7482.85,15.96,1041.91,3.38,2.38,1,1.248,1.364,0.706
CMP_00044,Brand_813,Food,US,Instagram,INF_1514,@creator_66446,Family,Micro,60790,1,Awareness,18450,483,128,163,0.0416,0.0066,206441,1370,1024,501.29,687062.35,137370.24,50329.85,21104.48,208804.57,11317.32,1.01,152.41,3.29,2.29,1,1.087,1.107,0.313
CMP_00045,Brand_893,Tech,India,Instagram,INF_8005,@creator_69321,Food,Nano,1810,5,Conversions,3789,61,36,15,0.0459,0.0362,469,17,11,3497.06,62740.19,14779.77,4814.94,3039.48,22634.2,5973.66,48.26,1331.42,2.77,1.77,0,2.586,1.279,0.88
CMP_00046,Brand_729,Gaming,US,YouTube,INF_1374,@creator_36916,Fashion,Micro,23596,5,Awareness,35748,71,11,61,0.038,0.0197,18413,363,314,1119.93,407148.07,148031.23,40181.44,39933.11,228145.79,6382.06,12.39,628.5,1.78,0.78,0,1.018,1.256,0.761
CMP_00047,Brand_305,Fashion,US,Instagram,INF_6895,@creator_89530,Travel,Micro,13988,4,Conversions,9110,21,18,39,0.0321,0.0287,10747,308,231,2348.0,725036.89,184464.64,70396.86,20805.19,275666.69,30259.79,25.65,895.02,2.63,1.63,0,1.224,1.144,0.326
CMP_00048,Brand_244,Food,MENA,YouTube,INF_8473,@creator_71212,Fashion,Mega,1007982,1,Traffic,240886,3302,855,1256,0.0209,0.031,37470,1160,702,1598.29,1855314.26,844761.88,326111.66,97270.22,1268143.77,5264.5,33.84,1093.23,1.46,0.46,0,1.469,1.387,0.558
CMP_00049,Brand_824,D2C,US,YouTube,INF_4072,@creator_41890,Tech,Nano,8529,5,Conversions,8774,52,0,20,0.0167,0.0331,1964,65,51,1324.74,87420.81,23207.1,8587.68,6149.73,37944.51,4324.65,19.32,583.76,2.3,1.3,0,2.851,1.203,1.165
CMP_00050,Brand_442,Food,US,Instagram,INF_6592,@creator_93360,Travel,Micro,24011,1,Traffic,7336,95,21,44,0.0095,0.03,39178,1177,845,682.85,804399.96,157521.75,53703.48,37299.84,248525.07,33877.46,6.34,211.15,3.24,2.24,1,2.628,1.088,0.387
CMP_00051,Brand_685,Fashion,EU,YouTube,INF_5431,@creator_69182,Fitness,Micro,66434,5,Conversions,56832,138,33,64,0.0197,0.0157,5716,90,72,2392.59,216650.93,89671.02,22037.54,23265.39,134973.95,2374.96,23.61,1499.71,1.61,0.61,0,2.078,1.159,0.863
CMP_00052,Brand_630,D2C,EU,YouTube,INF_6047,@creator_34611,Fashion,Nano,3692,4,Traffic,6381,0,5,16,0.0214,0.0481,1850,89,60,1939.33,174500.39,47163.79,10403.32,10347.66,67914.76,10643.28,36.71,763.09,2.57,1.57,0,1.822,1.344,0.968
CMP_00053,Brand_452,D2C,EU,TikTok,INF_1482,@creator_27633,Beauty,Nano,4205,1,Awareness,1435,141,9,0,0.0191,0.0687,2896,199,124,2196.7,437733.31,49723.32,18947.14,8770.73,77441.19,53965.98,26.74,389.15,5.65,4.65,1,1.856,1.301,1.093
CMP_00054,Brand_386,Beauty,India,Instagram,INF_2804,@creator_82240,Food,Nano,2264,4,Awareness,3895,29,0,13,0.0283,0.005,13400,67,43,2560.8,173841.59,29341.3,11947.17,5968.07,47256.54,12132.62,3.53,705.32,3.68,2.68,1,2.116,1.306,0.512
CMP_00055,Brand_860,D2C,US,YouTube,INF_4083,@creator_39328,Other,Nano,2820,4,App Installs,2165,0,8,15,0.0277,0.0127,3077,39,27,1574.6,61614.77,16660.28,6587.81,4596.04,27844.13,12861.03,9.05,713.95,2.21,1.21,0,2.217,1.227,0.381
CMP_00056,Brand_352,Fitness,SEA,Instagram,INF_5406,@creator_93362,Fashion,Nano,8757,3,Traffic,9150,24,0,26,0.003,0.0521,2358,123,95,1560.11,192505.62,38664.74,6662.73,4249.28,49576.75,5418.22,21.02,403.06,3.88,2.88,1,2.637,1.163,0.267
CMP_00057,Brand_481,Food,US,TikTok,INF_3530,@creator_61112,Tech,Nano,7911,1,Conversions,2587,17,16,25,0.0159,0.0345,8138,281,186,834.39,234968.43,43818.54,15318.1,5101.72,64238.36,24831.22,7.89,228.61,3.66,2.66,1,2.703,1.05,0.338
CMP_00058,Brand_744,Tech,US,TikTok,INF_6448,@creator_60331,Beauty,Nano,2693,3,Awareness,3167,109,21,0,0.0126,0.0211,4927,104,74,2440.12,255781.14,45670.88,14531.04,10018.0,70219.92,22172.38,14.25,675.19,3.64,2.64,1,1.81,1.279,0.559
CMP_00059,Brand_724,Fashion,India,Instagram,INF_7793,@creator_34022,Travel,Micro,61707,2,Awareness,54549,262,40,89,0.0061,0.0186,17397,323,286,2254.32,729230.87,155468.28,34032.68,16079.74,205580.7,3768.73,11.82,636.47,3.55,2.55,1,1.254,1.353,0.468
CMP_00060,Brand_582,Beauty,EU,TikTok,INF_7172,@creator_52080,Other,Macro,643996,2,Conversions,307276,6223,1553,2273,0.019,0.0074,153152,1127,947,3482.2,3925498.03,636690.15,255084.13,60755.18,952529.46,3099.91,6.22,845.19,4.12,3.12,1,2.977,1.205,0.21
CMP_00061,Brand_450,Tech,US,Instagram,INF_5531,@creator_74027,Food,Nano,2896,3,Awareness,3627,0,16,0,0.0058,0.0525,932,49,37,2545.61,126229.68,20189.9,7212.18,5374.95,32777.03,9036.95,35.17,668.92,3.85,2.85,1,2.288,1.236,0.359
CMP_00062,Brand_335,Gaming,EU,Instagram,INF_8569,@creator_36806,Other,Nano,2179,1,Awareness,656,117,0,0,0.0172,0.0346,2629,91,75,1867.44,171776.73,28355.85,10116.18,6575.48,45047.51,68669.98,17.13,495.03,3.81,2.81,1,2.838,1.138,0.777
CMP_00063,Brand_931,Gaming,US,Instagram,INF_4537,@creator_23057,Travel,Mega,4520704,5,Conversions,6099204,12722,3195,4761,0.0266,0.0515,41840,2156,1419,1322.34,2851041.38,763853.07,143910.22,165511.09,1073274.38,175.97,25.65,497.81,2.66,1.66,0,2.754,1.202,0.399
CMP_00064,Brand_504,Fitness,India,YouTube,INF_3159,@creator_47900,Fitness,Micro,65330,1,Traffic,9919,108,43,53,0.0242,0.0167,26966,450,363,619.6,279037.28,114154.13,44061.94,15495.74,173711.8,17513.04,6.44,386.03,1.61,0.61,0,1.897,1.303,1.047
CMP_00065,Brand_245,Fintech,India,Instagram,INF_3563,@creator_46060,Family,Macro,123876,3,Awareness,128669,1486,362,539,0.0138,0.0424,40124,1702,1242,1284.1,2186283.37,613968.07,101277.72,51583.8,766829.59,5959.71,19.11,450.55,2.85,1.85,0,1.668,1.325,0.824
CMP_00066,Brand_525,Beauty,US,Instagram,INF_6237,@creator_85564,Food,Micro,99620,1,Traffic,37124,461,122,202,0.017,0.048,3334,160,141,2636.24,423827.14,133308.07,36094.77,20967.91,190370.76,5127.97,57.1,1189.82,2.23,1.23,0,1.052,1.058,0.778
CMP_00067,Brand_169,Fashion,SEA,TikTok,INF_9895,@creator_36201,Beauty,Macro,153497,4,Awareness,290366,1743,445,672,0.0289,0.0196,170422,3342,2779,1448.99,4843062.67,662364.16,182504.77,173605.39,1018474.31,3507.55,5.98,304.75,4.76,3.76,1,1.536,1.105,0.572
CMP_00068,Brand_127,Fashion,EU,TikTok,INF_7342,@creator_75428,Other,Micro,13427,2,Conversions,11431,79,44,15,0.0261,0.011,44912,492,328,2528.12,1245198.27,228795.78,39389.22,15370.46,283555.46,24805.83,6.31,576.33,4.39,3.39,1,2.44,1.196,0.415
CMP_00069,Brand_881,Beauty,EU,YouTube,INF_4648,@creator_57945,Tech,Micro,41010,5,Awareness,37759,82,11,41,0.0116,0.045,4639,209,135,2786.1,583342.42,157547.0,43335.1,49793.69,250675.79,6638.84,54.04,1199.41,2.33,1.33,0,2.588,1.224,0.672
CMP_00070,Brand_653,Beauty,US,Instagram,INF_6879,@creator_23565,Fashion,Macro,361393,3,Conversions,367044,1578,406,630,0.0251,0.0496,22964,1140,866,2346.54,2675945.34,624820.1,199576.63,90756.37,915153.1,2493.31,39.85,802.77,2.92,1.92,0,2.586,1.252,0.774
CMP_00071,Brand_636,Fintech,EU,Instagram,INF_1282,@creator_89473,Fitness,Nano,7197,3,App Installs,4630,6,9,25,0.018,0.0126,21430,269,162,905.49,244144.72,35100.85,15736.84,9706.81,60544.5,13076.57,2.83,225.07,4.03,3.03,1,2.01,1.388,0.649
CMP_00072,Brand_437,Food,EU,Instagram,INF_1226,@creator_25036,Travel,Macro,120062,4,Conversions,209710,1031,238,346,0.003,0.0275,37973,1045,736,1294.65,1353508.44,384683.99,146229.29,55200.67,586113.95,2794.88,15.44,560.87,2.31,1.31,0,1.348,1.299,0.729
CMP_00073,Brand_944,Beauty,US,YouTube,INF_2674,@creator_86637,Food,Micro,54710,3,Traffic,43295,159,45,78,0.0228,0.0261,4250,111,92,2780.5,311350.51,99747.34,20257.98,19033.2,139038.52,3211.42,32.71,1252.6,2.24,1.24,0,2.388,1.229,0.506
CMP_00074,Brand_732,Fitness,MENA,TikTok,INF_2377,@creator_25223,Fitness,Micro,36344,4,Awareness,28362,305,56,82,0.0198,0.0239,24586,588,463,2528.43,1487534.04,183002.06,70667.53,57319.97,310989.56,10965.01,12.65,528.89,4.78,3.78,1,2.652,1.295,1.23
CMP_00075,Brand_300,D2C,US,Instagram,INF_1285,@creator_59416,Food,Nano,1319,1,Traffic,335,0,12,0,0.0243,0.0435,1517,66,41,2778.02,185176.88,43277.18,7619.95,3438.19,54335.32,162195.0,35.82,823.26,3.41,2.41,1,1.479,1.328,0.316
CMP_00076,Brand_683,Food,SEA,TikTok,INF_8468,@creator_42174,Other,Nano,9032,4,Conversions,11291,98,20,37,0.0164,0.0288,16853,486,435,625.01,304055.31,49009.57,15841.32,4696.41,69547.3,6159.53,4.13,143.1,4.37,3.37,1,1.468,1.325,0.794
CMP_00077,Brand_955,Fintech,SEA,YouTube,INF_9921,@creator_14378,Tech,Nano,1095,3,Awareness,1194,0,0,0,0.018,0.0301,1096,33,25,1110.42,37045.27,13172.33,2196.25,1354.52,16723.1,14005.94,15.26,506.76,2.22,1.22,0,1.678,1.331,0.774
CMP_00078,Brand_423,Fitness,US,Instagram,INF_2517,@creator_91554,Fitness,Macro,311563,3,Awareness,230079,1345,335,547,0.0182,0.0416,33405,1389,1119,1192.61,1657667.74,395044.12,150325.47,89457.88,634827.48,2759.17,19.0,457.04,2.61,1.61,0,1.003,1.273,0.295
CMP_00079,Brand_456,D2C,EU,Instagram,INF_4808,@creator_26715,Other,Nano,3947,2,Awareness,2969,98,13,14,0.0206,0.0682,791,54,38,1831.24,99481.2,17655.19,3707.68,2146.94,23509.82,7918.43,29.72,435.37,4.23,3.23,1,2.276,1.309,0.704
CMP_00080,Brand_106,Beauty,India,Instagram,INF_2819,@creator_20516,Tech,Micro,65572,3,Traffic,75841,437,110,176,0.0343,0.0379,5590,212,137,3685.62,783938.46,210451.55,50024.39,26283.38,286759.32,3781.06,51.3,1352.64,2.73,1.73,0,2.164,1.18,0.729
CMP_00081,Brand_584,Gaming,EU,Instagram,INF_8611,@creator_27297,Fashion,Macro,218659,4,Awareness,313641,2342,603,889,0.0351,0.0605,11910,721,538,1080.9,779913.19,236716.7,110013.7,31491.26,378221.66,1205.91,31.76,524.58,2.06,1.06,0,2.955,1.236,0.328
CMP_00082,Brand_399,Tech,MENA,YouTube,INF_1785,@creator_81675,Food,Nano,7733,1,App Installs,1940,13,9,0,0.0087,0.0121,5458,66,44,2122.33,140994.08,37699.81,13432.36,9316.5,60448.67,31159.11,11.08,915.89,2.33,1.33,0,1.881,1.156,0.471
CMP_00083,Brand_657,Food,India,YouTube,INF_6004,@creator_68478,Fitness,Micro,13778,2,Traffic,9624,109,3,34,0.0153,0.0284,8517,242,165,1634.56,396376.21,130822.73,26871.45,35927.88,193622.06,20118.67,22.73,800.09,2.05,1.05,0,2.819,1.303,0.84
CMP_00084,Brand_674,Fintech,India,Instagram,INF_7963,@creator_88405,Food,Micro,95716,2,Traffic,63719,458,156,220,0.0219,0.0504,7077,357,239,1981.54,707633.34,191308.89,52225.86,38837.03,282371.77,4431.52,39.9,790.96,2.51,1.51,0,2.183,1.332,0.696
CMP_00085,Brand_802,Fitness,India,TikTok,INF_3767,@creator_37103,Family,Mega,1426574,5,Awareness,2649079,15390,3845,5761,0.0321,0.017,180565,3066,2483,1590.29,4876684.55,1560720.82,613257.21,164773.38,2338751.41,882.85,12.95,762.8,2.09,1.09,0,2.989,1.081,0.192
CMP_00086,Brand_769,Beauty,EU,Instagram,INF_2381,@creator_76634,Family,Nano,4868,3,Traffic,5421,124,16,22,0.0279,0.028,1574,44,33,2723.87,120726.92,21304.78,6700.5,2344.8,30350.08,5598.61,19.28,689.77,3.98,2.98,1,2.727,1.19,0.427
CMP_00087,Brand_960,Tech,India,TikTok,INF_1182,@creator_17190,Family,Micro,57492,2,Traffic,44719,461,120,149,0.0248,0.0376,12080,454,272,1842.06,836787.18,141898.2,25914.36,33518.19,201330.74,4502.13,16.67,443.46,4.16,3.16,1,1.543,1.224,0.353
CMP_00088,Brand_200,Gaming,US,Instagram,INF_7056,@creator_45205,Other,Macro,383059,5,Conversions,342742,1994,485,748,0.0306,0.005,346200,1731,1493,1195.71,2069965.32,702264.0,117712.67,53832.23,873808.9,2549.47,2.52,504.8,2.37,1.37,0,2.129,1.376,0.893
CMP_00089,Brand_848,Food,India,TikTok,INF_8122,@creator_15842,Beauty,Micro,87898,4,App Installs,100130,651,174,284,0.0229,0.0175,29669,519,428,2074.71,1078318.36,149886.86,67831.44,19442.5,237160.79,2368.53,7.99,456.96,4.55,3.55,1,2.104,1.196,0.721
CMP_00090,Brand_270,Gaming,MENA,Instagram,INF_4220,@creator_26923,Tech,Nano,5458,1,Conversions,1367,6,6,13,0.01,0.0411,1045,43,25,1892.3,82739.97,14112.18,3497.02,1104.62,18713.82,13689.7,17.91,435.21,4.42,3.42,1,1.249,1.195,0.594
CMP_00091,Brand_144,Fashion,US,TikTok,INF_3745,@creator_65243,Food,Micro,20505,3,Traffic,17144,112,34,29,0.0079,0.0108,43812,473,325,2796.97,1324649.67,156383.61,55399.81,32894.02,244677.45,14271.9,5.58,517.29,5.41,4.41,1,2.136,1.282,0.891
